Team,Timestamp,Longitude,Latitude,Height,Temperature,Temp_from_pressure,Humidity,Pressure,AccelX,AccelY,AccelZ,CompassMag,CompassX,CompassY,CompassZ,Pitch,Roll,Yaw
LionTech,2024-04-28 07:05:09.128891,176.277101,-48.400511,424087.185,33.178,31.1,29.955,993.073,0.018,0.033,0.012,359.549,20.082,0.719,-8.088,333.21,69.77,359.11
LionTech,2024-04-28 07:05:09.314113,176.293122,-48.396153,424085.63,32.911,31.108,29.662,993.058,0.018,0.033,0.015,358.68,32.677,0.716,-13.22,333.21,69.7,358.26
LionTech,2024-04-28 07:05:09.381268,176.299067,-48.394535,424085.052,33.32,31.106,30.87,993.053,0.019,0.032,0.013,357.85,37.984,0.859,-15.284,333.13,69.61,357.45
LionTech,2024-04-28 07:05:09.464289,176.30606,-48.392631,424084.373,33.071,31.1,30.469,993.059,0.019,0.034,0.015,357.065,39.922,0.96,-15.728,333.14,69.47,356.69
LionTech,2024-04-28 07:05:09.538193,176.312492,-48.390879,424083.747,32.787,31.104,29.301,993.061,0.018,0.032,0.011,356.315,40.58,0.89,-16.374,333.09,69.4,355.95
LionTech,2024-04-28 07:05:09.605993,176.318298,-48.389298,424083.183,33.267,31.106,30.684,993.066,0.019,0.031,0.012,355.588,41.31,0.88,-16.412,333.02,69.35,355.24
LionTech,2024-04-28 07:05:09.672815,176.324132,-48.387708,424082.616,32.84,31.104,29.634,993.065,0.019,0.032,0.013,354.905,41.397,0.935,-16.082,332.98,69.25,354.58
LionTech,2024-04-28 07:05:09.741329,176.330021,-48.386103,424082.043,32.84,31.104,29.634,993.071,0.019,0.035,0.015,354.243,41.396,0.874,-16.801,332.97,69.24,353.91
LionTech,2024-04-28 07:05:09.808792,176.335728,-48.384547,424081.487,32.911,31.112,29.937,993.078,0.019,0.033,0.015,353.587,41.455,1.175,-17.011,332.93,69.25,353.27
LionTech,2024-04-28 07:05:09.881959,176.342246,-48.38277,424080.853,33.178,31.098,30.65,993.08,0.02,0.032,0.012,352.951,41.442,1.016,-16.883,332.9,69.19,352.64
LionTech,2024-04-28 07:05:09.951698,176.3482,-48.381146,424080.273,32.858,31.102,29.989,993.082,0.02,0.033,0.013,352.343,41.235,1.125,-16.732,332.86,69.13,352.05
LionTech,2024-04-28 07:05:10.024054,176.354454,-48.379439,424079.664,33.178,31.106,29.824,993.085,0.019,0.033,0.012,351.767,41.527,1.182,-16.526,332.87,69.07,351.49
LionTech,2024-04-28 07:05:10.093282,176.360435,-48.377807,424079.081,33.533,31.104,29.738,993.08,0.019,0.034,0.013,351.231,41.681,0.91,-16.411,332.85,69.08,350.98
LionTech,2024-04-28 07:05:10.165850,176.366482,-48.376156,424078.491,32.858,31.112,29.955,993.094,0.019,0.033,0.016,350.72,41.882,0.971,-16.622,332.87,68.93,350.47
LionTech,2024-04-28 07:05:10.236368,176.372609,-48.374482,424077.894,33.196,31.108,29.882,993.09,0.019,0.034,0.013,350.227,41.95,0.898,-16.502,332.86,68.92,349.99
LionTech,2024-04-28 07:05:10.311252,176.378977,-48.372743,424077.273,32.84,31.102,29.827,993.084,0.019,0.032,0.015,349.764,41.769,0.968,-16.166,332.86,68.8,349.54
LionTech,2024-04-28 07:05:10.379396,176.385036,-48.371087,424076.681,32.929,31.104,29.148,993.088,0.019,0.034,0.013,349.322,41.852,1.04,-16.365,332.85,68.75,349.11
LionTech,2024-04-28 07:05:10.452218,176.391354,-48.36936,424076.065,32.929,31.108,29.148,993.096,0.018,0.033,0.012,348.885,41.868,1.085,-16.716,332.84,68.72,348.67
LionTech,2024-04-28 07:05:10.520134,176.397073,-48.367797,424075.506,33.036,31.104,28.444,993.103,0.02,0.033,0.013,348.453,41.814,1.189,-16.716,332.78,68.78,348.24
LionTech,2024-04-28 07:05:10.588670,176.403042,-48.366164,424074.923,32.964,31.104,29.753,993.105,0.019,0.032,0.012,348.04,41.397,1.355,-16.209,332.77,68.77,347.85
LionTech,2024-04-28 07:05:10.661258,176.409067,-48.364516,424074.335,33.178,31.106,30.001,993.109,0.019,0.033,0.013,347.648,41.71,1.156,-16.77,332.74,68.75,347.45
LionTech,2024-04-28 07:05:10.731388,176.415236,-48.362828,424073.732,32.804,31.104,29.659,993.107,0.017,0.035,0.015,347.26,41.944,1.045,-16.856,332.8,68.7,347.07
LionTech,2024-04-28 07:05:10.806046,176.421559,-48.361097,424073.114,32.84,31.1,29.423,993.108,0.019,0.032,0.014,346.898,41.898,0.842,-16.481,332.78,68.68,346.73
LionTech,2024-04-28 07:05:10.872385,176.427329,-48.359518,424072.549,33.16,31.102,29.766,993.108,0.018,0.033,0.015,346.564,42.02,0.842,-16.604,332.74,68.6,346.4
LionTech,2024-04-28 07:05:10.947331,176.433824,-48.357739,424071.914,32.947,31.1,29.882,993.104,0.02,0.033,0.011,346.246,42.089,0.785,-16.219,332.66,68.64,346.1
LionTech,2024-04-28 07:05:11.015551,176.439615,-48.356153,424071.347,33.196,31.11,30.375,993.103,0.019,0.032,0.01,345.947,42.096,0.862,-16.348,332.58,68.66,345.8
LionTech,2024-04-28 07:05:11.083336,176.445538,-48.35453,424070.767,33.196,31.106,30.375,993.098,0.018,0.034,0.016,345.658,41.964,1.138,-16.317,332.59,68.63,345.51
LionTech,2024-04-28 07:05:11.150622,176.451376,-48.352929,424070.196,33.711,31.11,29.594,993.098,0.02,0.031,0.013,345.366,41.629,1.445,-16.26,332.53,68.62,345.22
LionTech,2024-04-28 07:05:11.222873,176.457585,-48.351227,424069.587,33.213,31.104,29.221,993.094,0.019,0.033,0.014,345.088,41.566,1.049,-16.382,332.52,68.6,344.95
LionTech,2024-04-28 07:05:11.291928,176.463558,-48.349589,424069.002,33.124,31.106,28.582,993.091,0.016,0.033,0.014,344.816,41.64,0.957,-16.617,332.52,68.58,344.68
LionTech,2024-04-28 07:05:11.364545,176.469581,-48.347937,424068.412,32.893,31.108,29.955,993.094,0.019,0.033,0.014,344.549,41.739,1.203,-16.572,332.5,68.51,344.42
LionTech,2024-04-28 07:05:11.441684,176.47631,-48.34609,424067.752,32.769,31.102,29.934,993.093,0.018,0.034,0.017,344.292,41.641,1.017,-16.807,332.55,68.37,344.16
LionTech,2024-04-28 07:05:11.509297,176.482003,-48.344528,424067.194,33.533,31.098,29.848,993.096,0.019,0.032,0.013,344.041,41.799,0.81,-16.771,332.52,68.36,343.92
LionTech,2024-04-28 07:05:11.582797,176.488499,-48.342744,424066.556,33.516,31.102,30.139,993.092,0.019,0.032,0.008,343.815,41.555,0.655,-16.703,332.49,68.51,343.7
LionTech,2024-04-28 07:05:11.658287,176.494933,-48.340977,424065.925,33.16,31.106,29.906,993.092,0.019,0.032,0.015,343.589,41.521,0.539,-16.784,332.4,68.42,343.48
LionTech,2024-04-28 07:05:11.729418,176.501079,-48.339289,424065.321,33.16,31.108,29.906,993.089,0.017,0.032,0.014,343.367,41.538,0.575,-16.942,332.46,68.39,343.26
LionTech,2024-04-28 07:05:11.803948,176.507374,-48.337559,424064.703,32.769,31.112,30.194,993.087,0.018,0.032,0.015,343.155,41.714,0.464,-17.071,332.48,68.27,343.05
LionTech,2024-04-28 07:05:11.869927,176.513132,-48.335976,424064.137,33.124,31.098,29.812,993.089,0.02,0.032,0.014,342.958,41.826,0.482,-16.732,332.42,68.18,342.87
LionTech,2024-04-28 07:05:11.944893,176.519603,-48.334197,424063.501,33.142,31.1,28.355,993.087,0.021,0.033,0.013,342.779,41.709,0.784,-16.615,332.34,68.15,342.69
LionTech,2024-04-28 07:05:12.012945,176.525283,-48.332635,424062.943,33.782,31.106,29.809,993.079,0.02,0.031,0.013,342.591,41.668,0.885,-16.994,332.33,68.16,342.5
LionTech,2024-04-28 07:05:12.079627,176.531176,-48.331014,424062.363,33.16,31.108,29.805,993.074,0.019,0.031,0.011,342.404,41.94,0.732,-17.125,332.27,68.17,342.31
LionTech,2024-04-28 07:05:12.156311,176.537771,-48.329199,424061.715,32.876,31.11,29.879,993.077,0.019,0.035,0.016,342.221,41.835,0.809,-17.363,332.29,68.12,342.13
LionTech,2024-04-28 07:05:12.224231,176.543622,-48.327589,424061.139,33.871,31.102,29.83,993.079,0.018,0.033,0.014,342.035,41.877,0.789,-17.387,332.32,68.12,341.94
LionTech,2024-04-28 07:05:12.296461,176.549798,-48.325888,424060.531,33.249,31.108,29.998,993.081,0.019,0.031,0.01,341.858,41.952,0.687,-17.356,332.25,68.16,341.77
LionTech,2024-04-28 07:05:12.364350,176.555538,-48.324307,424059.966,33.249,31.106,29.998,993.078,0.019,0.034,0.015,341.692,41.793,0.594,-17.514,332.28,68.14,341.61
LionTech,2024-04-28 07:05:12.441154,176.562172,-48.322479,424059.312,33.587,31.106,29.215,993.079,0.018,0.033,0.011,341.53,41.623,0.71,-17.107,332.27,68.23,341.45
LionTech,2024-04-28 07:05:12.509010,176.567921,-48.320895,424058.746,33.036,31.104,30.007,993.079,0.019,0.033,0.014,341.373,41.764,0.788,-17.166,332.26,68.25,341.3
LionTech,2024-04-28 07:05:12.582330,176.574377,-48.319116,424058.109,33.587,31.102,30.01,993.082,0.02,0.031,0.012,341.234,41.709,0.818,-16.836,332.22,68.22,341.17
LionTech,2024-04-28 07:05:12.657733,176.580755,-48.317357,424057.48,33.107,31.112,29.833,993.075,0.019,0.034,0.014,341.108,42.063,0.566,-17.065,332.25,68.2,341.05
LionTech,2024-04-28 07:05:12.725311,176.586675,-48.315724,424056.896,33.107,31.102,29.717,993.067,0.019,0.033,0.016,340.989,42.2,0.489,-17.111,332.25,68.09,340.93
LionTech,2024-04-28 07:05:12.793765,176.592523,-48.314111,424056.32,33.551,31.11,29.916,993.067,0.02,0.032,0.012,340.87,41.953,0.444,-17.523,332.2,68.14,340.81
LionTech,2024-04-28 07:05:12.861818,176.598254,-48.31253,424055.754,32.911,31.106,29.564,993.069,0.02,0.033,0.014,340.746,42.388,0.462,-17.227,332.22,68.11,340.69
LionTech,2024-04-28 07:05:12.928557,176.604069,-48.310925,424055.18,32.876,31.106,29.631,993.068,0.019,0.032,0.016,340.646,42.19,0.396,-17.047,332.26,68.04,340.6
LionTech,2024-04-28 07:05:13.003399,176.610436,-48.309167,424054.551,32.893,31.106,29.301,993.069,0.019,0.033,0.013,340.562,41.951,0.451,-16.452,332.24,68.1,340.53
LionTech,2024-04-28 07:05:13.077295,176.616909,-48.307379,424053.912,32.893,31.108,29.301,993.07,0.019,0.032,0.01,340.482,42.31,0.714,-16.926,332.18,68.18,340.44
LionTech,2024-04-28 07:05:13.145060,176.622681,-48.305784,424053.341,33.16,31.106,29.76,993.069,0.018,0.032,0.014,340.385,42.087,1.17,-17.245,332.19,68.14,340.33
LionTech,2024-04-28 07:05:13.740845,176.673595,-48.2917,424048.302,33.142,31.106,30.004,993.081,0.019,0.034,0.01,340.265,42.081,0.958,-17.481,332.17,68.17,340.21
LionTech,2024-04-28 07:05:13.816534,176.68015,-48.289885,424047.652,33.249,31.108,28.918,993.084,0.018,0.034,0.015,340.167,41.667,0.83,-16.429,332.19,68.1,340.13
LionTech,2024-04-28 07:05:13.882940,176.686013,-48.288261,424047.071,33.053,31.096,29.818,993.08,0.019,0.033,0.014,340.098,41.776,0.777,-16.524,332.19,68.04,340.06
LionTech,2024-04-28 07:05:13.951220,176.691816,-48.286652,424046.495,33.053,31.108,29.818,993.081,0.02,0.033,0.014,340.032,42.205,0.873,-16.65,332.19,68.06,340.0
LionTech,2024-04-28 07:05:14.024691,176.698059,-48.284922,424045.876,33.533,31.106,31.378,993.084,0.018,0.032,0.013,339.972,42.143,0.907,-16.389,332.19,68.02,339.95
LionTech,2024-04-28 07:05:14.092004,176.703851,-48.283316,424045.301,33.124,31.112,29.955,993.081,0.019,0.033,0.011,339.91,41.914,0.89,-16.875,332.16,68.06,339.87
LionTech,2024-04-28 07:05:14.160578,176.709674,-48.2817,424044.723,33.605,31.108,29.775,993.08,0.019,0.034,0.015,339.831,41.723,1.002,-16.911,332.16,68.03,339.79
LionTech,2024-04-28 07:05:14.226713,176.715482,-48.280089,424044.146,33.124,31.106,29.854,993.082,0.019,0.033,0.014,339.751,41.856,0.683,-17.101,332.22,68.0,339.72
LionTech,2024-04-28 07:05:14.295019,176.721327,-48.278467,424043.565,33.178,31.106,28.805,993.075,0.019,0.031,0.014,339.687,42.022,0.598,-16.91,332.22,67.96,339.66
LionTech,2024-04-28 07:05:14.369917,176.727688,-48.276701,424042.933,32.893,31.102,29.763,993.071,0.018,0.032,0.011,339.628,42.269,0.543,-17.104,332.18,67.99,339.6
LionTech,2024-04-28 07:05:14.437348,176.733559,-48.275071,424042.35,33.16,31.121,29.643,993.069,0.02,0.032,0.011,339.571,41.998,1.118,-16.739,332.1,68.01,339.54
LionTech,2024-04-28 07:05:14.512769,176.739914,-48.273306,424041.718,33.16,31.108,29.643,993.076,0.019,0.033,0.015,339.509,41.947,0.763,-16.964,332.11,67.95,339.48
LionTech,2024-04-28 07:05:14.579239,176.745705,-48.271697,424041.142,32.893,31.112,29.181,993.075,0.018,0.031,0.011,339.451,41.983,1.075,-16.744,332.11,67.98,339.43
LionTech,2024-04-28 07:05:14.654053,176.752082,-48.269925,424040.507,32.822,31.104,29.79,993.074,0.02,0.034,0.014,339.398,42.018,1.064,-16.813,332.14,67.94,339.37
LionTech,2024-04-28 07:05:14.721368,176.757801,-48.268335,424039.938,33.124,31.106,30.295,993.07,0.019,0.032,0.015,339.336,42.131,0.944,-17.218,332.14,67.85,339.3
LionTech,2024-04-28 07:05:14.788584,176.763564,-48.266733,424039.364,33.267,31.104,29.6,993.07,0.019,0.033,0.013,339.28,42.007,0.741,-16.891,332.1,67.84,339.26
LionTech,2024-04-28 07:05:14.856021,176.769336,-48.265128,424038.789,33.338,31.112,29.487,993.071,0.018,0.032,0.013,339.233,42.043,0.674,-17.087,332.09,67.83,339.21
LionTech,2024-04-28 07:05:14.922743,176.775105,-48.263523,424038.214,33.284,31.106,30.007,993.073,0.018,0.034,0.016,339.187,41.757,0.638,-17.254,332.15,67.8,339.16
LionTech,2024-04-28 07:05:14.997455,176.781643,-48.261703,424037.563,32.982,31.104,29.395,993.068,0.018,0.033,0.014,339.128,41.611,0.897,-17.21,332.17,67.75,339.1
LionTech,2024-04-28 07:05:15.067194,176.78749,-48.260076,424036.98,32.982,31.104,29.395,993.067,0.019,0.033,0.014,339.071,42.476,0.753,-17.061,332.21,67.64,339.06
LionTech,2024-04-28 07:05:15.134354,176.793308,-48.258456,424036.4,33.213,31.106,29.001,993.064,0.018,0.033,0.015,339.046,42.169,0.602,-16.747,332.24,67.62,339.04
LionTech,2024-04-28 07:05:15.206669,176.799508,-48.256729,424035.781,32.858,31.1,29.701,993.067,0.018,0.033,0.012,339.019,41.877,1.003,-16.826,332.26,67.67,339.0
LionTech,2024-04-28 07:05:15.274988,176.805371,-48.255096,424035.196,32.911,31.108,29.903,993.066,0.02,0.032,0.013,338.978,41.864,1.278,-16.73,332.2,67.68,338.96
LionTech,2024-04-28 07:05:15.343880,176.81125,-48.253458,424034.609,33.124,31.104,29.622,993.064,0.018,0.032,0.014,338.962,42.153,1.313,-15.653,332.14,67.67,338.97
LionTech,2024-04-28 07:05:15.415975,176.817266,-48.251781,424034.009,33.231,31.106,29.958,993.064,0.018,0.033,0.014,338.961,41.858,1.475,-16.105,332.17,67.64,338.95
LionTech,2024-04-28 07:05:15.485771,176.823341,-48.250087,424033.402,33.249,31.104,30.209,993.063,0.018,0.032,0.017,338.935,41.824,1.089,-16.995,332.24,67.54,338.91
LionTech,2024-04-28 07:05:15.553174,176.829089,-48.248484,424032.828,32.858,31.117,29.753,993.063,0.02,0.032,0.011,338.897,41.619,0.836,-16.844,332.19,67.55,338.88
LionTech,2024-04-28 07:05:15.620349,176.834825,-48.246884,424032.254,32.858,31.104,29.753,993.065,0.018,0.034,0.016,338.869,41.385,1.035,-16.368,332.22,67.5,338.86
LionTech,2024-04-28 07:05:15.693515,176.841096,-48.245134,424031.627,33.356,31.112,29.441,993.068,0.018,0.033,0.011,338.853,41.777,0.549,-16.611,332.27,67.57,338.85
LionTech,2024-04-28 07:05:15.760812,176.846788,-48.243545,424031.058,33.107,31.106,29.885,993.067,0.018,0.032,0.017,338.843,42.04,0.819,-16.564,332.24,67.47,338.84
LionTech,2024-04-28 07:05:15.830323,176.852881,-48.241844,424030.449,32.947,31.104,30.289,993.063,0.018,0.033,0.015,338.832,41.753,1.222,-16.999,332.27,67.45,338.81
LionTech,2024-04-28 07:05:15.902146,176.859212,-48.240076,424029.815,32.858,31.106,30.763,993.064,0.019,0.031,0.014,338.789,41.731,1.041,-16.92,332.29,67.45,338.77
LionTech,2024-04-28 07:05:15.972141,176.865018,-48.238455,424029.234,33.853,31.106,29.585,993.063,0.019,0.033,0.016,338.763,41.809,0.897,-16.571,332.32,67.38,338.76
LionTech,2024-04-28 07:05:16.047533,176.871448,-48.236658,424028.59,32.911,31.102,29.744,993.065,0.02,0.032,0.011,338.764,41.837,0.813,-16.275,332.27,67.4,338.77
LionTech,2024-04-28 07:05:16.115375,176.877147,-48.235065,424028.019,33.267,31.11,29.64,993.061,0.02,0.033,0.016,338.758,41.949,0.85,-16.899,332.27,67.31,338.74
LionTech,2024-04-28 07:05:16.181873,176.882953,-48.233442,424027.437,33.267,31.098,29.64,993.057,0.019,0.033,0.014,338.744,41.913,0.562,-16.322,332.24,67.28,338.75
LionTech,2024-04-28 07:05:16.248978,176.888684,-48.231839,424026.863,32.893,31.108,28.686,993.054,0.019,0.033,0.014,338.745,41.891,0.325,-16.891,332.26,67.27,338.74
LionTech,2024-04-28 07:05:16.315979,176.894304,-48.230267,424026.299,33.871,31.102,29.533,993.054,0.018,0.032,0.015,338.738,41.907,0.459,-16.762,332.32,67.23,338.74
LionTech,2024-04-28 07:05:16.382220,176.900111,-48.228643,424025.717,33.178,31.102,30.298,993.058,0.018,0.033,0.014,338.737,41.71,0.645,-16.447,332.29,67.15,338.74
LionTech,2024-04-28 07:05:16.450191,176.905933,-48.227013,424025.133,33.516,31.106,29.747,993.06,0.019,0.033,0.013,338.72,41.646,0.809,-17.007,332.25,67.16,338.7
LionTech,2024-04-28 07:05:16.517870,176.911625,-48.22542,424024.562,33.16,31.106,29.769,993.057,0.018,0.034,0.013,338.701,42.408,0.953,-16.755,332.32,67.1,338.7
LionTech,2024-04-28 07:05:16.584568,176.917425,-48.223796,424023.98,33.889,31.112,29.772,993.055,0.017,0.031,0.013,338.704,42.451,0.563,-16.508,332.34,67.07,338.71
LionTech,2024-04-28 07:05:16.659625,176.923746,-48.222025,424023.345,33.889,31.106,29.772,993.06,0.018,0.032,0.012,338.712,42.237,0.729,-16.74,332.33,67.2,338.71
LionTech,2024-04-28 07:05:16.725471,176.929482,-48.220418,424022.769,32.84,31.106,30.555,993.059,0.02,0.033,0.013,338.7,42.099,0.988,-17.169,332.3,67.2,338.68
LionTech,2024-04-28 07:05:16.792848,176.935378,-48.218766,424022.176,33.16,31.11,30.319,993.061,0.019,0.032,0.016,338.681,42.274,0.962,-16.461,332.3,67.15,338.68
LionTech,2024-04-28 07:05:16.866257,176.941392,-48.21708,424021.572,32.858,31.106,29.833,993.058,0.019,0.034,0.011,338.676,41.683,0.813,-16.767,332.33,67.21,338.67
LionTech,2024-04-28 07:05:16.936493,176.947533,-48.215358,424020.955,33.213,31.108,29.567,993.059,0.02,0.033,0.013,338.664,41.965,0.62,-16.841,332.31,67.28,338.66
LionTech,2024-04-28 07:05:17.011785,176.953943,-48.21356,424020.31,33.747,31.108,30.791,993.058,0.02,0.031,0.013,338.662,41.929,0.815,-16.615,332.27,67.31,338.66
LionTech,2024-04-28 07:05:17.079656,176.959753,-48.211931,424019.725,33.818,31.119,29.891,993.059,0.018,0.033,0.014,338.651,42.002,0.854,-17.171,332.28,67.44,338.64
LionTech,2024-04-28 07:05:17.154374,176.96617,-48.21013,424019.08,33.053,31.106,29.472,993.061,0.02,0.034,0.015,338.627,41.652,0.894,-16.868,332.25,67.44,338.62
LionTech,2024-04-28 07:05:20.936311,177.288986,-48.118858,423986.309,33.124,31.108,29.652,993.068,0.018,0.034,0.015,338.606,41.941,1.084,-16.888,332.33,67.42,338.59
LionTech,2024-04-28 07:05:21.008879,177.295161,-48.117099,423985.677,33.0,31.108,29.515,993.071,0.02,0.034,0.012,338.582,42.043,1.387,-16.862,332.33,67.48,338.57
LionTech,2024-04-28 07:05:21.087499,177.301761,-48.115218,423985.001,32.876,31.117,30.323,993.069,0.019,0.034,0.016,338.555,41.609,1.194,-16.907,332.34,67.47,338.54
LionTech,2024-04-28 07:05:21.154776,177.307512,-48.113579,423984.412,33.107,31.115,30.57,993.071,0.018,0.034,0.015,338.531,41.951,1.327,-16.624,332.37,67.46,338.52
LionTech,2024-04-28 07:05:24.916101,177.627292,-48.021766,423951.368,32.982,31.11,29.656,993.06,0.02,0.032,0.014,338.51,41.97,1.075,-17.193,332.32,67.38,338.5
LionTech,2024-04-28 07:05:24.987389,177.633328,-48.020021,423950.739,32.929,31.119,29.481,993.057,0.018,0.031,0.012,338.474,41.678,0.948,-17.474,332.26,67.4,338.45
LionTech,2024-04-28 07:05:25.054973,177.639074,-48.018358,423950.14,33.231,31.11,28.744,993.057,0.02,0.034,0.015,338.429,41.917,0.848,-17.704,332.22,67.43,338.41
LionTech,2024-04-28 07:05:25.129661,177.645398,-48.016528,423949.481,32.769,31.112,29.408,993.056,0.018,0.032,0.01,338.379,41.931,1.181,-17.835,332.19,67.56,338.35
LionTech,2024-04-28 07:05:25.197372,177.651091,-48.01488,423948.887,33.284,31.112,29.894,993.052,0.019,0.032,0.014,338.317,41.959,1.157,-18.079,332.22,67.54,338.29
LionTech,2024-04-28 07:05:28.948969,177.968778,-47.922257,423915.472,33.8,31.112,29.931,993.047,0.019,0.032,0.01,338.248,42.12,1.325,-18.552,332.21,67.71,338.2
LionTech,2024-04-28 07:05:29.020232,177.974697,-47.920519,423914.844,33.373,31.123,30.503,993.048,0.017,0.034,0.012,338.173,42.226,1.122,-18.149,332.24,67.83,338.14
LionTech,2024-04-28 07:05:29.096784,177.981337,-47.918568,423914.14,33.107,31.125,29.662,993.041,0.017,0.034,0.014,338.116,42.081,1.037,-18.171,332.29,67.83,338.09
LionTech,2024-04-28 07:05:29.169763,177.987382,-47.916792,423913.498,32.84,31.117,30.246,993.042,0.019,0.033,0.012,338.056,42.539,1.145,-18.086,332.26,67.86,338.03
LionTech,2024-04-28 07:05:29.240096,177.993401,-47.915023,423912.859,32.876,31.121,29.558,993.048,0.018,0.033,0.016,338.009,42.44,1.265,-18.262,332.28,67.8,337.98
LionTech,2024-04-28 07:05:32.984316,178.309253,-47.821524,423879.05,33.782,31.121,29.827,993.059,0.019,0.032,0.013,337.957,42.099,0.97,-18.024,332.26,67.87,337.93
LionTech,2024-04-28 07:05:33.053572,178.315086,-47.819785,423878.421,33.64,31.11,29.922,993.053,0.019,0.033,0.015,337.921,41.766,1.014,-17.462,332.31,67.8,337.91
LionTech,2024-04-28 07:05:33.122296,178.320704,-47.81811,423877.814,33.356,31.117,29.812,993.056,0.019,0.035,0.015,337.894,41.576,0.957,-17.417,332.32,67.77,337.88
LionTech,2024-04-28 07:05:33.196086,178.326953,-47.816246,423877.139,33.356,31.112,29.812,993.054,0.018,0.032,0.011,337.877,41.733,0.895,-17.177,332.32,67.85,337.87
LionTech,2024-04-28 07:05:33.263228,178.332644,-47.814548,423876.525,33.409,31.119,29.481,993.057,0.017,0.032,0.011,337.878,41.896,0.545,-16.854,332.35,67.89,337.88
LionTech,2024-04-28 07:05:36.995875,178.646139,-47.72035,423842.386,33.0,31.121,29.625,993.054,0.019,0.035,0.014,337.879,41.39,0.579,-17.359,332.38,67.93,337.87
LionTech,2024-04-28 07:05:37.064014,178.651791,-47.71864,423841.765,33.178,31.119,29.717,993.058,0.02,0.034,0.013,337.871,41.641,0.657,-17.058,332.37,67.93,337.87
LionTech,2024-04-28 07:05:37.139012,178.65814,-47.716718,423841.068,32.893,31.117,29.573,993.058,0.017,0.032,0.014,337.861,41.724,0.562,-17.893,332.39,67.93,337.85
LionTech,2024-04-28 07:05:37.207004,178.663842,-47.714992,423840.441,32.822,31.125,28.738,993.053,0.019,0.034,0.012,337.821,41.961,0.6,-18.755,332.37,67.92,337.79
LionTech,2024-04-28 07:05:37.278601,178.669803,-47.713187,423839.787,33.16,31.129,29.937,993.051,0.018,0.034,0.014,337.77,41.633,0.509,-18.385,332.36,67.93,337.75
